collegeStart,collegeEnd,distance
Arizona State University,Massachusetts Institute of Technology (MIT),2636
Arizona State University,Northwestern,1756
Arizona State University,Ohio State University,1865
Arizona State University,Saddleback College,379
Arizona State University,University of Michigan,1956
Arizona State University,"University of California, Irvine (UCI)",375
Arizona State University,"University of California, Los Angeles (UCLA)",397
Arizona State University,University of Oregon,1343
Arizona State University,University of the Pacific,720
Arizona State University,University of Wisconsin,1684
Massachusetts Institute of Technology (MIT),Arizona State University,2636
Massachusetts Institute of Technology (MIT),Northwestern,993
Massachusetts Institute of Technology (MIT),Ohio State University,772
Massachusetts Institute of Technology (MIT),Saddleback College,2989
Massachusetts Institute of Technology (MIT),University of Michigan,803
Massachusetts Institute of Technology (MIT),"University of California, Irvine (UCI)",2986
Massachusetts Institute of Technology (MIT),"University of California, Los Angeles (UCLA)",2998
Massachusetts Institute of Technology (MIT),University of Oregon,3107
Massachusetts Institute of Technology (MIT),University of the Pacific,3057
Massachusetts Institute of Technology (MIT),University of Wisconsin,1125
Northwestern,Arizona State University,1756
Northwestern,Massachusetts Institute of Technology (MIT),993
Northwestern,Ohio State University,335
Northwestern,Saddleback College,2033
Northwestern,University of Michigan,270
Northwestern,"University of California, Irvine (UCI)",2030
Northwestern,"University of California, Los Angeles (UCLA)",2043
Northwestern,University of Oregon,2151
Northwestern,University of the Pacific,2102
Northwestern,University of Wisconsin,145
Ohio State University,Arizona State University,1865
Ohio State University,Massachusetts Institute of Technology (MIT),772
Ohio State University,Northwestern,335
Ohio State University,Saddleback College,2252
Ohio State University,University of Michigan,184
Ohio State University,"University of California, Irvine (UCI)",2248
Ohio State University,"University of California, Los Angeles (UCLA)",2261
Ohio State University,University of Oregon,2241
Ohio State University,University of the Pacific,2412
Ohio State University,University of Wisconsin,503
Saddleback College,Arizona State University,379
Saddleback College,Massachusetts Institute of Technology (MIT),2989
Saddleback College,Northwestern,2033
Saddleback College,Ohio State University,2252
Saddleback College,University of Michigan,2249
Saddleback College,"University of California, Irvine (UCI)",16
Saddleback College,"University of California, Los Angeles (UCLA)",66
Saddleback College,University of Oregon,906
Saddleback College,University of the Pacific,390
Saddleback College,University of Wisconsin,1981
University of Michigan,Arizona State University,1956
University of Michigan,Massachusetts Institute of Technology (MIT),803
University of Michigan,Northwestern,270
University of Michigan,Ohio State University,184
University of Michigan,Saddleback College,2249
University of Michigan,"University of California, Irvine (UCI)",2245
University of Michigan,"University of California, Los Angeles (UCLA)",2252
University of Michigan,University of Oregon,2347
University of Michigan,University of the Pacific,2318
University of Michigan,University of Wisconsin,391
"University of California, Irvine (UCI)",Arizona State University,375
"University of California, Irvine (UCI)",Massachusetts Institute of Technology (MIT),2986
"University of California, Irvine (UCI)",Northwestern,2030
"University of California, Irvine (UCI)",Ohio State University,2248
"University of California, Irvine (UCI)",Saddleback College,16
"University of California, Irvine (UCI)",University of Michigan,2245
"University of California, Irvine (UCI)","University of California, Los Angeles (UCLA)",51
"University of California, Irvine (UCI)",University of Oregon,899
"University of California, Irvine (UCI)",University of the Pacific,383
"University of California, Irvine (UCI)",University of Wisconsin,1978
"University of California, Los Angeles (UCLA)",Arizona State University,397
"University of California, Los Angeles (UCLA)",Massachusetts Institute of Technology (MIT),2998
"University of California, Los Angeles (UCLA)",Northwestern,2043
"University of California, Los Angeles (UCLA)",Ohio State University,2261
"University of California, Los Angeles (UCLA)",Saddleback College,66.3
"University of California, Los Angeles (UCLA)",University of Michigan,2252
"University of California, Los Angeles (UCLA)","University of California, Irvine (UCI)",51.5
"University of California, Los Angeles (UCLA)",University of Oregon,849
"University of California, Los Angeles (UCLA)",University of the Pacific,333
"University of California, Los Angeles (UCLA)",University of Wisconsin,1991
University of Oregon,Arizona State University,1343
University of Oregon,Massachusetts Institute of Technology (MIT),3107
University of Oregon,Northwestern,2151
University of Oregon,Ohio State University,2241
University of Oregon,Saddleback College,906
University of Oregon,University of Michigan,2347
University of Oregon,"University of California, Irvine (UCI)",899
University of Oregon,"University of California, Los Angeles (UCLA)",849
University of Oregon,University of the Pacific,517
University of Oregon,University of Wisconsin,2111
University of the Pacific,Arizona State University,720
University of the Pacific,Massachusetts Institute of Technology (MIT),3057
University of the Pacific,Northwestern,2102
University of the Pacific,Ohio State University,2412
University of the Pacific,Saddleback College,390
University of the Pacific,University of Michigan,2318
University of the Pacific,"University of California, Irvine (UCI)",383
University of the Pacific,"University of California, Los Angeles (UCLA)",333
University of the Pacific,University of Oregon,517
University of the Pacific,University of Wisconsin,2052
University of Wisconsin,Arizona State University,1684
University of Wisconsin,Massachusetts Institute of Technology (MIT),1125
University of Wisconsin,Northwestern,145
University of Wisconsin,Ohio State University,503
University of Wisconsin,Saddleback College,1981
University of Wisconsin,University of Michigan,391
University of Wisconsin,"University of California, Irvine (UCI)",1978
University of Wisconsin,"University of California, Los Angeles (UCLA)",1991
University of Wisconsin,University of Oregon,2111
University of Wisconsin,University of the Pacific,2052
Arizona State University,"California State University, Fullerton",364
Arizona State University,University of Texas,1007
Massachusetts Institute of Technology (MIT),"California State University, Fullerton",2968
Massachusetts Institute of Technology (MIT),University of Texas,1959
Northwestern,"California State University, Fullerton",2013
Northwestern,University of Texas,1311
Ohio State University,"California State University, Fullerton",2231
Ohio State University,University of Texas,1235
Saddleback College,"California State University, Fullerton",29.3
Saddleback College,University of Texas,1378
"University of California, Irvine (UCI)","California State University, Fullerton",20.2
"University of California, Irvine (UCI)",University of Texas,1375
"University of California, Los Angeles (UCLA)","California State University, Fullerton",47.9
"University of California, Los Angeles (UCLA)",University of Texas,1396
University of Michigan,"California State University, Fullerton",2229
University of Michigan,University of Texas,1368
University of Oregon,"California State University, Fullerton",884
University of Oregon,University of Texas,2073
University of the Pacific,"California State University, Fullerton",368
University of the Pacific,University of Texas,1720
University of Wisconsin,"California State University, Fullerton",1963
University of Wisconsin,University of Texas,1183
"California State University, Fullerton",Arizona State University,364
"California State University, Fullerton",Massachusetts Institute of Technology (MIT),2968
"California State University, Fullerton",Northwestern,2013
"California State University, Fullerton",Ohio State University,2231
"California State University, Fullerton",Saddleback College,29.3
"California State University, Fullerton","University of California, Irvine (UCI)",20.2
"California State University, Fullerton","University of California, Los Angeles (UCLA)",47.9
"California State University, Fullerton",University of Michigan,2229
"California State University, Fullerton",University of Oregon,884
"California State University, Fullerton",University of the Pacific,368
"California State University, Fullerton",University of Texas,1758
"California State University, Fullerton",University of Wisconsin,1963
University of Texas,Arizona State University,1007
University of Texas,"California State University, Fullerton",1758
University of Texas,Massachusetts Institute of Technology (MIT),1959
University of Texas,Northwestern,1311
University of Texas,Ohio State University,1235
University of Texas,Saddleback College,1378
University of Texas,"University of California, Irvine (UCI)",1375
University of Texas,"University of California, Los Angeles (UCLA)",1396
University of Texas,University of Michigan,1368
University of Texas,University of Oregon,2073
University of Texas,University of the Pacific,1720
University of Texas,University of Wisconsin,1183
